Tag,Document Path,Document Length,Time taken for tests,Complete requests,Failed requests,Concurrency Level,Total transferred,Requests per second (mean),Transfer rate,Time per request
"Docker+SDN+Encrypted","/ping/10","10","2.041","1000","0","50","165000","490.05","78.96","2.041"
"Docker+SDN+Encrypted","/ping/10","10","2.755","1000","0","50","165000","362.98","58.49","2.755"
"Docker+SDN+Encrypted","/ping/10","10","2.201","1000","0","50","165000","454.27","73.20","2.201"
"Docker+SDN+Encrypted","/ping/10","10","2.021","1000","0","50","165000","494.75","79.72","2.021"
"Docker+SDN+Encrypted","/ping/10","10","2.007","1000","0","50","165000","498.37","80.30","2.007"
"Docker+SDN+Encrypted","/ping/10","10","2.125","1000","0","50","165000","470.56","75.82","2.125"
"Docker+SDN+Encrypted","/ping/10","10","2.518","1000","0","50","165000","397.07","63.98","2.518"
"Docker+SDN+Encrypted","/ping/10","10","2.097","1000","0","50","165000","476.90","76.84","2.097"
"Docker+SDN+Encrypted","/ping/10","10","2.032","1000","0","50","165000","492.01","79.28","2.032"
"Docker+SDN+Encrypted","/ping/10","10","2.651","1000","0","50","165000","377.28","60.79","2.651"
"Docker+SDN+Encrypted","/ping/50","50","2.004","1000","0","50","205000","498.89","99.88","2.004"
"Docker+SDN+Encrypted","/ping/50","50","2.182","1000","0","50","205000","458.31","91.75","2.182"
"Docker+SDN+Encrypted","/ping/50","50","2.063","1000","0","50","205000","484.64","97.02","2.063"
"Docker+SDN+Encrypted","/ping/50","50","2.602","1000","0","50","205000","384.36","76.95","2.602"
"Docker+SDN+Encrypted","/ping/50","50","2.557","1000","0","50","205000","391.03","78.28","2.557"
"Docker+SDN+Encrypted","/ping/50","50","2.081","1000","0","50","205000","480.64","96.22","2.081"
"Docker+SDN+Encrypted","/ping/50","50","2.641","1000","0","50","205000","378.59","75.79","2.641"
"Docker+SDN+Encrypted","/ping/50","50","2.118","1000","0","50","205000","472.13","94.52","2.118"
"Docker+SDN+Encrypted","/ping/50","50","2.563","1000","0","50","205000","390.18","78.11","2.563"
"Docker+SDN+Encrypted","/ping/50","50","1.966","1000","0","50","205000","508.54","101.81","1.966"
"Docker+SDN+Encrypted","/ping/100","100","2.039","1000","0","50","255000","490.38","122.12","2.039"
"Docker+SDN+Encrypted","/ping/100","100","2.081","1000","0","50","255000","480.61","119.68","2.081"
"Docker+SDN+Encrypted","/ping/100","100","2.167","1000","0","50","255000","461.57","114.94","2.167"
"Docker+SDN+Encrypted","/ping/100","100","2.766","1000","0","50","255000","361.60","90.05","2.766"
"Docker+SDN+Encrypted","/ping/100","100","2.039","1000","0","50","255000","490.51","122.15","2.039"
"Docker+SDN+Encrypted","/ping/100","100","2.699","1000","0","50","255000","370.49","92.26","2.699"
"Docker+SDN+Encrypted","/ping/100","100","2.872","1000","0","50","255000","348.23","86.72","2.872"
"Docker+SDN+Encrypted","/ping/100","100","2.131","1000","0","50","255000","469.24","116.85","2.131"
"Docker+SDN+Encrypted","/ping/100","100","2.661","1000","0","50","255000","375.73","93.57","2.661"
"Docker+SDN+Encrypted","/ping/100","100","2.302","1000","0","50","255000","434.42","108.18","2.302"
"Docker+SDN+Encrypted","/ping/500","500","2.368","1000","0","50","655000","422.25","270.09","2.368"
"Docker+SDN+Encrypted","/ping/500","500","2.177","1000","0","50","655000","459.32","293.80","2.177"
"Docker+SDN+Encrypted","/ping/500","500","2.089","1000","0","50","655000","478.68","306.19","2.089"
"Docker+SDN+Encrypted","/ping/500","500","2.103","1000","0","50","655000","475.47","304.13","2.103"
"Docker+SDN+Encrypted","/ping/500","500","2.391","1000","0","50","655000","418.21","267.50","2.391"
